ID,timestamp,latitude,longitude,temperature,humidity
5131,1420429440,-37.8149218,144.9822582,17.74,49.87
5132,1420430040,-37.8149218,144.9822582,,50.02
5133,1420430700,-37.8149218,144.9822582,17.41,49.39
5134,1420431300,-37.8149218,144.9822582,17.41,49.08
5135,1420431900,-37.8149218,144.9822582,17.41,49.87
5136,1420432560,-37.8149218,144.9822582,17.09,50.34
5137,1420433160,-37.8149218,144.9822582,14.51,62.8
5138,1420433760,-37.8149218,144.9822582,14.83,59.48
5139,1420434360,-37.8149218,144.9822582,15.48,58.07
5140,1420435020,-37.8149218,144.9822582,15.8,57.28
5141,1420435620,-37.8149218,144.9822582,15.8,58.22
5142,1420436220,-37.8149218,144.9822582,16.12,59.48
5143,1420436820,-37.8149218,144.9822582,16.45,59.48
5144,1420437480,-37.8149218,144.9822582,16.45,59.64
5145,1420438080,-37.8149218,144.9822582,16.45,60.59
5146,1420438680,-37.8149218,144.9822582,16.45,60.9
5147,1420439280,-37.8149218,144.9822582,16.45,62.01
5148,1420439940,-37.8149218,144.9822582,16.45,62.32
5149,1420440540,-37.8149218,144.9822582,16.45,62.64
5150,1420441140,-37.8149218,144.9822582,16.77,
5151,1420441740,-37.8149218,144.9822582,16.77,
5152,1420442400,-37.8149218,144.9822582,16.77,64.69
5153,1420443000,-37.8149218,144.9822582,16.77,66.11
5154,1420443600,-37.8149218,144.9822582,17.09,66.11
5155,1420444260,-37.8149218,144.9822582,17.41,65.63
5156,1420444860,-37.8149218,144.9822582,17.09,65.48
5157,1420445460,-37.8149218,144.9822582,17.09,66.42
5158,1420446060,-37.8149218,144.9822582,17.09,66.11
5159,1420446720,-37.8149218,144.9822582,17.09,66.11
5160,1420447320,-37.8149218,144.9822582,16.77,65.79
5161,1420447920,-37.8149218,144.9822582,16.77,66.26
5162,1420448520,-37.8149218,144.9822582,16.77,66.26
5163,1420449180,-37.8149218,144.9822582,16.77,66.42
5164,1420449780,-37.8149218,144.9822582,16.12,67.05
5165,1420450380,-37.8149218,144.9822582,16.12,67.84
5166,1420451040,-37.8149218,144.9822582,16.12,68.16
5167,1420451640,-37.8149218,144.9822582,16.77,67.21
5168,1420452240,-37.8149218,144.9822582,16.77,65.48
5169,1420452840,-37.8149218,144.9822582,17.09,65.48
5170,1420453500,-37.8149218,144.9822582,17.09,
5171,1420454100,-37.8149218,144.9822582,17.09,64.85
5172,1420454700,-37.8149218,144.9822582,17.09,66.11
5173,1420455300,-37.8149218,144.9822582,17.09,65.95
5174,1420455960,-37.8149218,144.9822582,17.09,61.06
5175,1420456560,-37.8149218,144.9822582,17.09,60.59
5176,1420457160,-37.8149218,144.9822582,16.77,61.38
5177,1420457760,-37.8149218,144.9822582,16.45,62.17
5178,1420458420,-37.8149218,144.9822582,16.45,61.69
5179,1420459020,-37.8149218,144.9822582,16.45,61.22
5180,1420459620,-37.8149218,144.9822582,16.45,61.85
5181,1420460280,-37.8149218,144.9822582,16.77,61.22
5182,1420460880,-37.8149218,144.9822582,16.45,62.01
5183,1420461480,-37.8149218,144.9822582,16.45,61.06
5184,1420462080,-37.8149218,144.9822582,16.45,61.53
5185,1420462740,-37.8149218,144.9822582,16.45,61.69
5186,1420463340,-37.8149218,144.9822582,16.45,61.38
5187,1420463940,-37.8149218,144.9822582,16.45,61.22
5188,1420464540,-37.8149218,144.9822582,16.12,61.53
5189,1420465200,-37.8149218,144.9822582,16.45,62.17
5190,1420465800,-37.8149218,144.9822582,16.12,61.38
5191,1420466400,-37.8149218,144.9822582,16.45,61.38
5192,1420467000,-37.8149218,144.9822582,17.09,61.69
5193,1420467660,-37.8149218,144.9822582,16.77,61.53
5194,1420468260,-37.8149218,144.9822582,17.09,61.38
5195,1420468860,-37.8149218,144.9822582,17.74,60.27
5196,1420469520,-37.8149218,144.9822582,17.74,58.54
5197,1420470120,-37.8149218,144.9822582,17.74,58.22
5198,1420470720,-37.8149218,144.9822582,17.74,57.12
5199,1420471320,-37.8149218,144.9822582,18.38,56.96
5200,1420471980,-37.8149218,144.9822582,19.03,56.17
5201,1420472580,-37.8149218,144.9822582,19.35,54.6
5202,1420473180,-37.8149218,144.9822582,19.03,55.07
5203,1420473780,-37.8149218,144.9822582,19.03,
5204,1420474440,-37.8149218,144.9822582,19.35,54.75
5205,1420475040,-37.8149218,144.9822582,20.96,48.61
5206,1420475640,-37.8149218,144.9822582,20.64,50.02
5207,1420476240,-37.8149218,144.9822582,20.64,49.87
5208,1420476900,-37.8149218,144.9822582,,50.66
5209,1420677060,-37.8149218,144.9822582,23.54,59.01
5210,1420677720,-37.8149218,144.9822582,23.54,58.7
5211,1420678320,-37.8149218,144.9822582,23.22,58.54
5212,1420678920,-37.8149218,144.9822582,23.22,58.22
5213,1420679580,-37.8149218,144.9822582,23.22,58.7
5214,1420680180,-37.8149218,144.9822582,23.54,59.33
5215,1420680780,-37.8149218,144.9822582,23.22,59.48
5216,1420681380,-37.8149218,144.9822582,23.54,57.59
5217,1420682040,-37.8149218,144.9822582,23.87,57.91
5218,1420682640,-37.8149218,144.9822582,23.87,54.91
5219,1420683240,-37.8149218,144.9822582,23.54,52.07
5220,1420683840,-37.8149218,144.9822582,23.22,53.34
5221,1420684500,-37.8149218,144.9822582,23.54,50.5
5222,1420685100,-37.8149218,144.9822582,23.54,50.5
5223,1420685700,-37.8149218,144.9822582,22.9,50.66
5224,1420686300,-37.8149218,144.9822582,23.22,50.81
5225,1420686960,-37.8149218,144.9822582,23.22,49.87
5226,1420687560,-37.8149218,144.9822582,22.9,50.66
5227,1420688160,-37.8149218,144.9822582,23.22,49.71
5228,1420688820,-37.8149218,144.9822582,22.25,52.23
5229,1420689420,-37.8149218,144.9822582,21.93,54.44
5230,1420690020,-37.8149218,144.9822582,21.93,54.28
5231,1420690620,-37.8149218,144.9822582,,53.65
5232,1420691280,-37.8149218,144.9822582,,54.91
5233,1420691880,-37.8149218,144.9822582,22.25,55.54
5234,1420692480,-37.8149218,144.9822582,21.61,57.75
5235,1420693080,-37.8149218,144.9822582,21.29,58.22
5236,1420693740,-37.8149218,144.9822582,20.96,59.48
5237,1420694340,-37.8149218,144.9822582,21.29,58.22
5238,1420694940,-37.8149218,144.9822582,21.93,56.33
5239,1420695540,-37.8149218,144.9822582,21.61,57.12
5240,1420696200,-37.8149218,144.9822582,21.61,58.38
5241,1420696800,-37.8149218,144.9822582,20.96,60.43
5242,1420697400,-37.8149218,144.9822582,20.96,61.06
5243,1420698060,-37.8149218,144.9822582,20.96,62.8
5244,1420698660,-37.8149218,144.9822582,21.61,61.53
5245,1420699260,-37.8149218,144.9822582,21.61,61.22
